filename,n_simplicies,time
01_sphere.txt,       5, .00000800                                         
02_sphere.txt,      13, .00000600                                         
03_sphere.txt,      29, .00001300                                         
04_sphere.txt,      61, .00002800                                         
05_sphere.txt,     125, .00007100                                         
06_sphere.txt,     253, .00017400                                         
07_sphere.txt,     509, .00043800                                         
08_sphere.txt,    1021, .00117400                                         
09_sphere.txt,    2045, .00354900                                         
10_sphere.txt,    4093, .01134800                                         
11_sphere.txt,    8189, .04051200                                         
12_sphere.txt,   16381, .15138300                                         
13_sphere.txt,   32765, .57667300                                         
14_sphere.txt,   65533, 2.21786800                                        
15_sphere.txt,  131069, 8.63918600                                        
16_sphere.txt,  262141, 35.07361500                                       
17_sphere.txt,  524285, 140.16864900                                      
