filename,n_simplicies,time
01_sphere.txt,       5, .00000500                                         
02_sphere.txt,      13, .00000600                                         
03_sphere.txt,      29, .00001400                                         
04_sphere.txt,      61, .00003100                                         
05_sphere.txt,     125, .00007100                                         
06_sphere.txt,     253, .00017100                                         
07_sphere.txt,     509, .00042500                                         
08_sphere.txt,    1021, .00112500                                         
09_sphere.txt,    2045, .00337200                                         
10_sphere.txt,    4093, .01049800                                         
11_sphere.txt,    8189, .03748900                                         
12_sphere.txt,   16381, .13919500                                         
13_sphere.txt,   32765, .52759000                                         
14_sphere.txt,   65533, 2.02776600                                        
15_sphere.txt,  131069, 7.91547900                                        
16_sphere.txt,  262141, 31.26065300                                       
17_sphere.txt,  524285, 128.44897400                                      
